TupleID FalsePositive cost label perc 
659 0 1.75E+05 Cost1 0.2 
581 0 1.75E+05 Cost1 0.2 
008 0 2.54E+05 Cost1 0.2 
483 0 2.54E+05 Cost1 0.2 
589 1 1.39E+07 Cost1 0.2 
204 1 8.38E+07 Cost1 0.2 
354 1 2.00E+08 Cost1 0.2 
279 0 1.25E-01 Cost2 0.2 
809 0 6.55E+00 Cost2 0.2
657 0 7.22E+00 Cost2 0.2
463 0 1.73E+01 Cost2 0.2
779 0 1.73E+01 Cost2 0.2
878 0 1.73E+01 Cost2 0.2
659 0 1.73E+01 Cost2 0.2
581 0 1.73E+01 Cost2 0.2
008 0 2.30E+01 Cost2 0.2
483 0 2.30E+01 Cost2 0.2
589 1 5.23E+02 Cost2 0.2
204 1 2.27E+03 Cost2 0.2
354 1 5.04E+03 Cost2 0.2
452 0 0.00E+00 Cost1 0.8 
279 0 0.00E+00 Cost1 0.8 
404 0 0.00E+00 Cost1 0.8 
384 0 8.96E+01 Cost1 0.8 
736 0 8.96E+01 Cost1 0.8 
980 0 1.12E+03 Cost1 0.8 
809 0 1.29E+03 Cost1 0.8 
792 0 1.29E+03 Cost1 0.8 
539 0 1.29E+03 Cost1 0.8 
590 0 1.29E+03 Cost1 0.8 
069 0 1.29E+03 Cost1 0.8 
175 0 1.29E+03 Cost1 0.8 
657 0 1.29E+03 Cost1 0.8 
262 0 1.34E+03 Cost1 0.8 
485 0 1.62E+03 Cost1 0.8 
161 0 1.62E+03 Cost1 0.8 
581 0 7.97E+03 Cost1 0.8 
779 0 7.97E+03 Cost1 0.8 
328 0 7.97E+03 Cost1 0.8 
480 0 7.97E+03 Cost1 0.8 
964 0 7.97E+03 Cost1 0.8 
188 0 7.97E+03 Cost1 0.8 
608 0 7.97E+03 Cost1 0.8 
181 0 7.97E+03 Cost1 0.8 
315 0 7.97E+03 Cost1 0.8 
922 0 7.97E+03 Cost1 0.8 
463 0 7.97E+03 Cost1 0.8 
659 0 7.97E+03 Cost1 0.8 
651 0 7.97E+03 Cost1 0.8 
878 0 7.97E+03 Cost1 0.8 
841 0 2.41E+04 Cost1 0.8 
483 0 2.41E+04 Cost1 0.8 
864 0 2.41E+04 Cost1 0.8 
575 0 2.41E+04 Cost1 0.8 
891 0 2.41E+04 Cost1 0.8 
008 0 2.41E+04 Cost1 0.8 
047 0 2.41E+04 Cost1 0.8 
154 0 2.41E+04 Cost1 0.8 
989 0 2.41E+04 Cost1 0.8 
217 0 2.41E+04 Cost1 0.8 
247 0 2.41E+04 Cost1 0.8 
331 0 2.41E+04 Cost1 0.8 
846 0 2.41E+04 Cost1 0.8 
589 1 4.12E+06 Cost1 0.8 
204 1 2.51E+07 Cost1 0.8 
354 1 5.99E+07 Cost1 0.8 
452 0 0.00E+00 Cost2 0.8 
279 0 0.00E+00 Cost2 0.8
404 0 0.00E+00 Cost2 0.8
384 0 3.70E-02 Cost2 0.8
736 0 3.70E-02 Cost2 0.8
980 0 2.77E-01 Cost2 0.8
809 0 3.19E-01 Cost2 0.8
792 0 3.19E-01 Cost2 0.8
539 0 3.19E-01 Cost2 0.8
590 0 3.19E-01 Cost2 0.8
069 0 3.19E-01 Cost2 0.8
175 0 3.19E-01 Cost2 0.8
657 0 3.19E-01 Cost2 0.8
262 0 3.78E-01 Cost2 0.8
485 0 4.40E-01 Cost2 0.8
161 0 4.40E-01 Cost2 0.8
581 0 1.85E+00 Cost2 0.8
779 0 1.85E+00 Cost2 0.8
328 0 1.85E+00 Cost2 0.8
480 0 1.85E+00 Cost2 0.8
964 0 1.85E+00 Cost2 0.8
188 0 1.85E+00 Cost2 0.8
608 0 1.85E+00 Cost2 0.8
181 0 1.85E+00 Cost2 0.8
315 0 1.85E+00 Cost2 0.8
922 0 1.85E+00 Cost2 0.8
463 0 1.85E+00 Cost2 0.8
659 0 1.85E+00 Cost2 0.8
651 0 1.85E+00 Cost2 0.8
878 0 1.85E+00 Cost2 0.8
841 0 4.03E+00 Cost2 0.8
483 0 4.03E+00 Cost2 0.8
864 0 4.03E+00 Cost2 0.8
575 0 4.03E+00 Cost2 0.8
891 0 4.03E+00 Cost2 0.8
008 0 4.03E+00 Cost2 0.8
047 0 4.03E+00 Cost2 0.8
154 0 4.03E+00 Cost2 0.8
989 0 4.03E+00 Cost2 0.8
217 0 4.03E+00 Cost2 0.8
247 0 4.03E+00 Cost2 0.8
331 0 4.03E+00 Cost2 0.8
846 0 4.03E+00 Cost2 0.8
589 1 1.54E+02 Cost2 0.8
204 1 6.79E+02 Cost2 0.8
354 1 1.51E+03 Cost2 0.8
